Date : 2024-01-25 12:12:07
Directory : /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler
Total : 83 files,  6203 codes, 98 comments, 278 blanks, all 6579 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
+---------------+------------+------------+------------+------------+------------+
| JSON          |         23 |      5,039 |          0 |          5 |      5,044 |
| C#            |         37 |        830 |         75 |        244 |      1,149 |
| XML           |         15 |        149 |          0 |          1 |        150 |
| SQL           |          1 |         66 |          2 |         19 |         87 |
| EditorConfig  |          4 |         58 |          0 |          4 |         62 |
| Solution File |          1 |         39 |          0 |          2 |         41 |
| YAML          |          1 |         20 |         21 |          3 |         44 |
| Properties    |          1 |          2 |          0 |          0 |          2 |
+---------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                         |         83 |      6,203 |         98 |        278 |      6,579 |
| . (Files)                                                                                                                                                                                                 |          1 |         39 |          0 |          2 |         41 |
| MusicalScoresHandler.Api                                                                                                                                                                                  |         24 |      2,862 |         53 |         31 |      2,946 |
| MusicalScoresHandler.Api (Files)                                                                                                                                                                          |          4 |         58 |         12 |         12 |         82 |
| MusicalScoresHandler.Api/Development                                                                                                                                                                      |          1 |         20 |         21 |          3 |         44 |
| MusicalScoresHandler.Api/Properties                                                                                                                                                                       |          1 |         41 |          0 |          1 |         42 |
| MusicalScoresHandler.Api/bin                                                                                                                                                                              |          4 |        467 |          0 |          2 |        469 |
| MusicalScoresHandler.Api/bin/Debug                                                                                                                                                                        |          4 |        467 |          0 |          2 |        469 |
| MusicalScoresHandler.Api/bin/Debug/net8.0                                                                                                                                                                 |          4 |        467 |          0 |          2 |        469 |
| MusicalScoresHandler.Api/obj                                                                                                                                                                              |         14 |      2,276 |         20 |         13 |      2,309 |
| MusicalScoresHandler.Api/obj (Files)                                                                                                                                                                      |          4 |      2,203 |          0 |          0 |      2,203 |
| MusicalScoresHandler.Api/obj/Debug                                                                                                                                                                        |         10 |         73 |         20 |         13 |        106 |
| MusicalScoresHandler.Api/obj/Debug/net8.0                                                                                                                                                                 |         10 |         73 |         20 |         13 |        106 |
| MusicalScoresHandler.Api/obj/Debug/net8.0 (Files)                                                                                                                                                         |          7 |         64 |         20 |         13 |         97 |
| MusicalScoresHandler.Api/obj/Debug/net8.0/staticwebassets                                                                                                                                                 |          3 |          9 |          0 |          0 |          9 |
| MusicalScoresHandler.Business                                                                                                                                                                             |         11 |        219 |         11 |          8 |        238 |
| MusicalScoresHandler.Business (Files)                                                                                                                                                                     |          1 |          7 |          0 |          0 |          7 |
| MusicalScoresHandler.Business/bin                                                                                                                                                                         |          1 |         23 |          0 |          0 |         23 |
| MusicalScoresHandler.Business/bin/Debug                                                                                                                                                                   |          1 |         23 |          0 |          0 |         23 |
| MusicalScoresHandler.Business/bin/Debug/net8.0                                                                                                                                                            |          1 |         23 |          0 |          0 |         23 |
| MusicalScoresHandler.Business/obj                                                                                                                                                                         |          9 |        189 |         11 |          8 |        208 |
| MusicalScoresHandler.Business/obj (Files)                                                                                                                                                                 |          4 |        156 |          0 |          0 |        156 |
| MusicalScoresHandler.Business/obj/Debug                                                                                                                                                                   |          5 |         33 |         11 |          8 |         52 |
| MusicalScoresHandler.Business/obj/Debug/net8.0                                                                                                                                                            |          5 |         33 |         11 |          8 |         52 |
| MusicalScoresHandler.Repository                                                                                                                                                                           |         31 |      2,826 |         23 |        219 |      3,068 |
| MusicalScoresHandler.Repository (Files)                                                                                                                                                                   |          2 |        102 |          1 |         18 |        121 |
| MusicalScoresHandler.Repository/Abstraction                                                                                                                                                               |          6 |         84 |          9 |         30 |        123 |
| MusicalScoresHandler.Repository/Database                                                                                                                                                                  |          2 |         68 |          2 |         19 |         89 |
| MusicalScoresHandler.Repository/Database (Files)                                                                                                                                                          |          1 |          2 |          0 |          0 |          2 |
| MusicalScoresHandler.Repository/Database/scripts                                                                                                                                                          |          1 |         66 |          2 |         19 |         87 |
| MusicalScoresHandler.Repository/Model                                                                                                                                                                     |          5 |         47 |          0 |         15 |         62 |
| MusicalScoresHandler.Repository/Repository                                                                                                                                                                |          6 |        465 |          0 |        129 |        594 |
| MusicalScoresHandler.Repository/bin                                                                                                                                                                       |          1 |        342 |          0 |          0 |        342 |
| MusicalScoresHandler.Repository/bin/Debug                                                                                                                                                                 |          1 |        342 |          0 |          0 |        342 |
| MusicalScoresHandler.Repository/bin/Debug/net8.0                                                                                                                                                          |          1 |        342 |          0 |          0 |        342 |
| MusicalScoresHandler.Repository/obj                                                                                                                                                                       |          9 |      1,718 |         11 |          8 |      1,737 |
| MusicalScoresHandler.Repository/obj (Files)                                                                                                                                                               |          4 |      1,685 |          0 |          0 |      1,685 |
| MusicalScoresHandler.Repository/obj/Debug                                                                                                                                                                 |          5 |         33 |         11 |          8 |         52 |
| MusicalScoresHandler.Repository/obj/Debug/net8.0                                                                                                                                                          |          5 |         33 |         11 |          8 |         52 |
| MusicalScoresHandler.Shared                                                                                                                                                                               |         16 |        257 |         11 |         18 |        286 |
| MusicalScoresHandler.Shared (Files)                                                                                                                                                                       |          6 |         45 |          0 |         10 |         55 |
| MusicalScoresHandler.Shared/bin                                                                                                                                                                           |          1 |         23 |          0 |          0 |         23 |
| MusicalScoresHandler.Shared/bin/Debug                                                                                                                                                                     |          1 |         23 |          0 |          0 |         23 |
| MusicalScoresHandler.Shared/bin/Debug/net8.0                                                                                                                                                              |          1 |         23 |          0 |          0 |         23 |
| MusicalScoresHandler.Shared/obj                                                                                                                                                                           |          9 |        189 |         11 |          8 |        208 |
| MusicalScoresHandler.Shared/obj (Files)                                                                                                                                                                   |          4 |        156 |          0 |          0 |        156 |
| MusicalScoresHandler.Shared/obj/Debug                                                                                                                                                                     |          5 |         33 |         11 |          8 |         52 |
| MusicalScoresHandler.Shared/obj/Debug/net8.0                                                                                                                                                              |          5 |         33 |         11 |          8 |         52 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                                  | language      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+------------+------------+------------+------------+
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Api/Development/docker-compose.yml                                                                    | YAML          |         20 |         21 |          3 |         44 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Api/MusicalScoresHandler.Api.csproj                                                                   | XML           |         17 |          0 |          1 |         18 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Api/Program.cs                                                                                        | C#            |         21 |         12 |          9 |         42 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Api/Properties/launchSettings.json                                                                    | JSON          |         41 |          0 |          1 |         42 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Api/appsettings.Development.json                                                                      | JSON          |         11 |          0 |          1 |         12 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Api/appsettings.json                                                                                  | JSON          |          9 |          0 |          1 |         10 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Api/bin/Debug/net8.0/MusicalScoresHandler.Api.deps.json                                               | JSON          |        425 |          0 |          0 |        425 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Api/bin/Debug/net8.0/MusicalScoresHandler.Api.runtimeconfig.json                                      | JSON          |         22 |          0 |          0 |         22 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Api/bin/Debug/net8.0/appsettings.Development.json                                                     | JSON          |         11 |          0 |          1 |         12 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Api/bin/Debug/net8.0/appsettings.json                                                                 | JSON          |          9 |          0 |          1 |         10 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Api/obj/Debug/net8.0/.NETCoreApp,Version=v8.0.AssemblyAttributes.cs                                   | C#            |          3 |          1 |          1 |          5 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Api/obj/Debug/net8.0/MusicalScoresHandler.Api.AssemblyInfo.cs                                         | C#            |          9 |          9 |          5 |         23 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Api/obj/Debug/net8.0/MusicalScoresHandler.Api.GeneratedMSBuildEditorConfig.editorconfig               | EditorConfig  |         19 |          0 |          1 |         20 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Api/obj/Debug/net8.0/MusicalScoresHandler.Api.GlobalUsings.g.cs                                       | C#            |         16 |          1 |          1 |         18 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Api/obj/Debug/net8.0/MusicalScoresHandler.Api.MvcApplicationPartsAssemblyInfo.cs                      | C#            |          5 |          9 |          5 |         19 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Api/obj/Debug/net8.0/MusicalScoresHandler.Api.sourcelink.json                                         | JSON          |          1 |          0 |          0 |          1 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Api/obj/Debug/net8.0/staticwebassets.build.json                                                       | JSON          |         11 |          0 |          0 |         11 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Api/obj/Debug/net8.0/staticwebassets/msbuild.build.MusicalScoresHandler.Api.props                     | XML           |          3 |          0 |          0 |          3 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Api/obj/Debug/net8.0/staticwebassets/msbuild.buildMultiTargeting.MusicalScoresHandler.Api.props       | XML           |          3 |          0 |          0 |          3 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Api/obj/Debug/net8.0/staticwebassets/msbuild.buildTransitive.MusicalScoresHandler.Api.props           | XML           |          3 |          0 |          0 |          3 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Api/obj/MusicalScoresHandler.Api.csproj.nuget.dgspec.json                                             | JSON          |        361 |          0 |          0 |        361 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Api/obj/MusicalScoresHandler.Api.csproj.nuget.g.props                                                 | XML           |         23 |          0 |          0 |         23 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Api/obj/MusicalScoresHandler.Api.csproj.nuget.g.targets                                               | XML           |          9 |          0 |          0 |          9 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Api/obj/project.assets.json                                                                           | JSON          |      1,810 |          0 |          0 |      1,810 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Business/MusicalScoresHandler.Business.csproj                                                         | XML           |          7 |          0 |          0 |          7 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Business/bin/Debug/net8.0/MusicalScoresHandler.Business.deps.json                                     | JSON          |         23 |          0 |          0 |         23 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Business/obj/Debug/net8.0/.NETCoreApp,Version=v8.0.AssemblyAttributes.cs                              | C#            |          3 |          1 |          1 |          5 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Business/obj/Debug/net8.0/MusicalScoresHandler.Business.AssemblyInfo.cs                               | C#            |          9 |          9 |          5 |         23 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Business/obj/Debug/net8.0/MusicalScoresHandler.Business.GeneratedMSBuildEditorConfig.editorconfig     | EditorConfig  |         13 |          0 |          1 |         14 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Business/obj/Debug/net8.0/MusicalScoresHandler.Business.GlobalUsings.g.cs                             | C#            |          7 |          1 |          1 |          9 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Business/obj/Debug/net8.0/MusicalScoresHandler.Business.sourcelink.json                               | JSON          |          1 |          0 |          0 |          1 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Business/obj/MusicalScoresHandler.Business.csproj.nuget.dgspec.json                                   | JSON          |         67 |          0 |          0 |         67 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Business/obj/MusicalScoresHandler.Business.csproj.nuget.g.props                                       | XML           |         15 |          0 |          0 |         15 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Business/obj/MusicalScoresHandler.Business.csproj.nuget.g.targets                                     | XML           |          2 |          0 |          0 |          2 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Business/obj/project.assets.json                                                                      | JSON          |         72 |          0 |          0 |         72 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Abstraction/ICopyrightRepository.cs                                                        | C#            |         14 |          1 |          2 |         17 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Abstraction/IGenresRepository.cs                                                           | C#            |         10 |          1 |          4 |         15 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Abstraction/IMusicalScoresRepository.cs                                                    | C#            |         11 |          1 |          4 |         16 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Abstraction/IPdfFilesRepository.cs                                                         | C#            |         11 |          1 |          5 |         17 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Abstraction/IRepository.cs                                                                 | C#            |         28 |          4 |          8 |         40 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Abstraction/IScoreGenreRelationshipRepository.cs                                           | C#            |         10 |          1 |          7 |         18 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Database/.env                                                                              | Properties    |          2 |          0 |          0 |          2 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Database/scripts/bootstrap.sql                                                             | SQL           |         66 |          2 |         19 |         87 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Model/Copyright.cs                                                                         | C#            |          6 |          0 |          3 |          9 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Model/Genre.cs                                                                             | C#            |          6 |          0 |          3 |          9 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Model/MusicalScore.cs                                                                      | C#            |         13 |          0 |          3 |         16 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Model/PdfFile.cs                                                                           | C#            |         14 |          0 |          3 |         17 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Model/ScoreGenreRelationship.cs                                                            | C#            |          8 |          0 |          3 |         11 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/MusicalScoresHandler.Repository.csproj                                                     | XML           |         17 |          0 |          0 |         17 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/MusicalScoresHandlerDbContext.cs                                                           | C#            |         85 |          1 |         18 |        104 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Repository/CopyrightRepository.cs                                                          | C#            |         71 |          0 |         22 |         93 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Repository/GenresRepository.cs                                                             | C#            |         66 |          0 |         24 |         90 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Repository/MusicalScoresRepository.cs                                                      | C#            |         74 |          0 |         22 |         96 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Repository/PdfFilesRepository.cs                                                           | C#            |         79 |          0 |         22 |        101 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Repository/Repository.cs                                                                   | C#            |        119 |          0 |         25 |        144 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Repository/ScoreGenreRelationshipRepository.cs                                             | C#            |         56 |          0 |         14 |         70 |
| /home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/bin/Debug/net8.0/MusicalScoresHandler.Repository.deps.json                                 | JSON          |        342 |          0 |          0 |        342 |
